sku,nom,effets,icone1,icone4,utilisation,precaution,composition,codebarre,nomchinois,couleur,titre composition,brand,lot,form,id
CYPFS,YU PING FENG SAN,"Immunité, anti-allergies et vitalité
depuis 700 ans",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737632452/100_gelules_36aa37fb40.png,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637473/effet_eprouve_e3082c05b5.png,Dose journalière recommandée (DJR) de 6 GÉLULES (3 g) ou selon l'avis de votre professionnel de la santé.,"Déconseillé aux personnes sous traitement anticoagulants, consultez votre médecin ou pharmacien. Déconseillé chez les femmes ayant des antécédents personnels ou familiaux de cancer du sein. Sous réserve de les conserver au sec et à l'abri de la lumière et de l'humidité. Tenir hors de portée des enfants. Complément alimentaire déconseillé aux enfants de moins de 12 ans. L’utilisation de ce complément alimentaire ne doit pas se substituer à une alimentation diversifiée et à un mode de vie sain. Ne pas dépasser la dose journalière recommandée. Ne pas utiliser en cas de grossesse ou d'allaitement.","Extrait : Atractylode (Bai zhu, A. macrocephala) 1200 mg, Astragale (Huang qi, A. membranaceus) 1200 mg, Silère (Fang feng, S. divaricata) 600 mg.
Excipient : maltodextrine. Gélules végétales en pullulan.",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1736936265/3665346317952_Yu_ping_feng_san_937278a9d8.png,玉屏风散,#DB9331,COMPOSITION POUR 6 GÉLULES (3 g),long,17925A,Gélule,1
CYPFSCP,YU PING FENG SAN,"Immunité, anti-allergies et vitalité
depuis 700 ans",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637425/100_grammes_33bcaa9898.png,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637473/effet_eprouve_e3082c05b5.png,Dose journalière recommandée (DJR) de 6 GRAMMES ou selon l'avis de votre professionnel de la santé.,"Déconseillé aux personnes sous traitement anticoagulants, consultez votre médecin ou pharmacien. Déconseillé chez les femmes ayant des antécédents personnels ou familiaux de cancer du sein. Sous réserve de les conserver au sec et à l'abri de la lumière et de l'humidité. Tenir hors de portée des enfants. Complément alimentaire déconseillé aux enfants de moins de 12 ans. L’utilisation de ce complément alimentaire ne doit pas se substituer à une alimentation diversifiée et à un mode de vie sain. Ne pas dépasser la dose journalière recommandée. Ne pas utiliser en cas de grossesse ou d'allaitement.","Extrait : Atractylode (Bai zhu, A. macrocephala) 2400 mg, Astragale (Huang qi, A. membranaceus) 2400 mg, Silère (Fang feng, S. divaricata) 1200 mg.
Excipient : maltodextrine.",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1739976022/3665346317938_Yu_ping_feng_san_100cp_7ad3f921ab.png,玉屏风散,#DB9331,COMPOSITION POUR 6 GRAMMES,long,17925A,Poudre,2
D032,MÉNOPAUSE,"<span style=""font-size:0.85em"">Surmonter tous les défis de la <br/>pré-ménopause et ménopause</span>",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737632452/100_gelules_36aa37fb40.png,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637473/non_hormonal_72f4cf86c6.png,Dose journalière recommandée (DJR) de 6 GÉLULES (3 g) ou selon l'avis de votre professionnel de la santé.,"À stocker à l’abri de la lumière et d’une source de chaleur. Tenir hors de portée des enfants. Complément alimentaire déconseillé aux enfants de moins de 12 ans. Ne pas utiliser en cas de grossesse ou d'allaitement. Déconseillé aux personnes sous traitement antidiabétique, et / ou en cas d’usage concomitant d’anticoagulants, consultez votre médecin. Déconseillé aux personnes présentant de troubles hépatiques ou cardiaque, consultez votre médecin ou pharmacien. Déconseillé aux femmes enceintes. L’utilisation de ce complément alimentaire ne doit pas se substituer à une alimentation diversifiée et à un mode de vie sain. Ne pas dépasser la dose journalière recommandée.","Extrait : Roseau des rochers (Shi chang pu, A. calamus) 300 mg, Racine de Buplèvre (Chai hu, B. chinense) 150 mg, Citron à trois feuilles préparé (Zhi qiao, C. aurantium) 150 mg, Coptis (Huang Lian, C. teeta) 300 mg, Liane de renouée (Ye jiao teng, R. multiflora) 300 mg, Graines de Fenouil (Xiao hui xiang, F. vulgare) 300 mg, Jasmin du cap (Zhi zi, G. jasminoides) 300 mg, Pivoine blanche (Bai shao yao, P. lactiflora) 300 mg, Phellodendron (Huang bai, P. amurense) 300 mg, Polygala de Chine (Yuan zhi, P. tenuifolia) 300 mg, Poria (Fu ling, W. cocos) 300 mg. Excipient : maltodextrine. Gélules végétales en pullulan.",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1764256165/3665346363355_Formule_M_nopause_d05f12b994.png,更年安,#D97A8C,COMPOSITION POUR 6 GÉLULES (3 g),court,25G0038,Gélule,3
D032-NEW,MÉNOPAUSE,"<span style=""font-size:0.85em"">Surmonter tous les défis de la <br/>pré-ménopause et ménopause</span>",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737632452/100_gelules_36aa37fb40.png,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637473/non_hormonal_72f4cf86c6.png,Dose journalière recommandée (DJR) de 6 GÉLULES (3 g) ou selon l'avis de votre professionnel de la santé.,"À stocker à l’abri de la lumière et d’une source de chaleur. Tenir hors de portée des enfants. Complément alimentaire déconseillé aux enfants de moins de 12 ans. Ne pas utiliser en cas de grossesse ou d'allaitement. Déconseillé aux personnes sous traitement antidiabétique, et / ou en cas d’usage concomitant d’anticoagulants, consultez votre médecin. Déconseillé aux personnes présentant de troubles hépatiques ou cardiaque, consultez votre médecin ou pharmacien. Déconseillé aux femmes enceintes. L’utilisation de ce complément alimentaire ne doit pas se substituer à une alimentation diversifiée et à un mode de vie sain. Ne pas dépasser la dose journalière recommandée.","Extrait : Igname (Shan yao, D. villosa) 306 mg, Pivoine (Bai shao yao, P. lactiflora) 459 mg, Polygala de Chine (Yuan zhi, P. tenuifolia) 306 mg, Acore (Shi chang pu, A. calamus) 306 mg, Poria (Fu ling, P. cocos) 459 mg, Coptis (Huang lian, C. teeta) 92 mg, Kali musali (Xian mao, C. orchioides) 460 mg, Buplèvre (Chai hu, B. chinense) 306 mg, Angélique (Dang gui, A. sinensis) 306 mg
Excipient : maltodextrine. Gélules végétales en pullulan.",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1730127381/3665346373750_Calebasse_Menopause_GL_50_d04b56b7a9.png,更年安,#D97A8C,COMPOSITION POUR 6 GÉLULES (3 g),long,25G0038,Gélule,4
D032CP,MÉNOPAUSE,"<span style=""font-size:0.85em"">Surmonter tous les défis de la <br/>pré-ménopause et ménopause</span>",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637425/100_grammes_33bcaa9898.png,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637473/non_hormonal_72f4cf86c6.png,Dose journalière recommandée (DJR) de 6 GRAMMES ou selon l'avis de votre professionnel de la santé.,"À stocker à l’abri de la lumière et d’une source de chaleur. Tenir hors de portée des enfants. Complément alimentaire déconseillé aux enfants de moins de 12 ans. Ne pas utiliser en cas de grossesse ou d'allaitement. Déconseillé aux personnes sous traitement antidiabétique, et / ou en cas d’usage concomitant d’anticoagulants, consultez votre médecin. Déconseillé aux personnes présentant de troubles hépatiques ou cardiaque, consultez votre médecin ou pharmacien. Déconseillé aux femmes enceintes. L’utilisation de ce complément alimentaire ne doit pas se substituer à une alimentation diversifiée et à un mode de vie sain. Ne pas dépasser la dose journalière recommandée.","Extrait : Roseau des rochers (Shi chang pu, A. calamus) 600 mg, Racine de Buplèvre (Chai hu, B. chinense) 300 mg, Citron à trois feuilles préparé (Zhi qiao, C. aurantium) 300 mg, Coptis (Huang Lian, C. teeta) 600 mg, Liane de renouée (Ye jiao teng, R. multiflora) 600 mg, Graines de Fenouil (Xiao hui xiang, F. vulgare) 600 mg, Jasmin du cap (Zhi zi, G. jasminoides) 600 mg, Pivoine blanche (Bai shao yao, P. lactiflora) 600 mg, Phellodendron (Huang bai, P. amurense) 600 mg, Polygala de Chine (Yuan zhi, P. tenuifolia) 600 mg, Poria (Fu ling, W. cocos) 600 mg. Excipient : maltodextrine.",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1764256073/3665346363331_Formule_M_nopause_CP_ac7f4740d0.png,更年安,#D97A8C,COMPOSITION POUR 6 GRAMMES,court,25G0038,Poudre,5
D032CP-NEW,MÉNOPAUSE,"<span style=""font-size:0.85em"">Surmonter tous les défis de la <br/>pré-ménopause et ménopause</span>",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637425/100_grammes_33bcaa9898.png,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637473/non_hormonal_72f4cf86c6.png,Dose journalière recommandée (DJR) de 6 GRAMMES ou selon l'avis de votre professionnel de la santé.,"À stocker à l’abri de la lumière et d’une source de chaleur. Tenir hors de portée des enfants. Complément alimentaire déconseillé aux enfants de moins de 12 ans. Ne pas utiliser en cas de grossesse ou d'allaitement. Déconseillé aux personnes sous traitement antidiabétique, et / ou en cas d’usage concomitant d’anticoagulants, consultez votre médecin. Déconseillé aux personnes présentant de troubles hépatiques ou cardiaque, consultez votre médecin ou pharmacien. Déconseillé aux femmes enceintes. L’utilisation de ce complément alimentaire ne doit pas se substituer à une alimentation diversifiée et à un mode de vie sain. Ne pas dépasser la dose journalière recommandée.","Extrait : Igname (Shan yao , D. villosa) 612 mg, Pivoine (Bai shao yao, P. lactiflora) 918 mg, Polygala de Chine (Yuan zhi, P. tenuifolia) 612 mg, Acore (Shi chang pu, A. calamus) 612 mg, Poria (Fu ling, P. cocos) 918 mg, Coptis (Huang lian, C. teeta) 184 mg, Kali musali (Xian mao, C. orchioides) 920 mg, Buplèvre (Chai hu, B. chinense) 612 mg, Angélique (Dang gui, A. sinensis) 612 mg.
Excipient : maltodextrine.",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1739977576/3665346371633_Calebasse_Menopause_CP_100_5be6f8c7fb.png,     更年安,#D97A8C,COMPOSITION POUR 6 GRAMMES,long,25G0038,Poudre,6
CBYP,RESPIRATION,Pour un confort respiratoire toute l'année,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737632452/100_gelules_36aa37fb40.png,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737632452/formule_innovee_db64549dde.png,Dose journalière recommandée (DJR) de 6 GÉLULES (3 g) ou selon l'avis de votre professionnel de la santé.,Déconseillé chez les femmes ayant des antécédents personnels ou familiaux de cancer du sein. L'usage prolongé peut irriter l'estomac. Consultez votre médecin ou votre pharmacien en cas d’usage concomitant d’anticoagulants. Consultez votre médecin ou votre pharmacien en cas de traitement contre le diabète ou de traitement cardiaque. Déconseillé aux personnes présentant de troubles hépatiques. Sous réserve de les conserver au sec et à l'abri de la lumière et de l'humidité. Tenir hors de portée des enfants. Complément alimentaire déconseillé aux enfants de moins de 12 ans. L’utilisation de ce complément alimentaire ne doit pas se substituer à une alimentation diversifiée et à un mode de vie sain. Ne pas dépasser la dose journalière recommandée. Déconseillé aux femmes enceintes et allaitantes.,"Extrait : Magnolia (Xin Yi Hua, M. officinalis) 1040 mg, Cloche dorée (Lian Qiao, F. suspensa) 300 mg, Phellodendron (Huang bai, P. amurense) 300 mg, Angélique dahurienne (Bai Zhi, A. dahurica) 300 mg, Chrysanthème (Ye Ju Hua, C. indicum) 180 mg, Herbe à chat du Japon (Jing Jie Sui, S. tenuifolia) 180 mg, Silère (Fang Feng, S. divaricata) 180 mg, Platycodon (Jie Geng, P. grandifloras) 180 mg, Schisandra (Wu Wei Zi, S. chinensis) 170 mg, Anemarrhena (Zhi Mu, A. asphodeloides) 170 mg. Excipient : maltodextrine. Gélules végétales en pullulan.",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1730127339/3665346301258_Bi_yan_pian_GL_50_6dc0c3ae9f.png,鼻炎片,#778A76,COMPOSITION POUR 6 GÉLULES (3 g),court,25G0038,Gélule,7
CBYPCP,RESPIRATION,Pour un confort respiratoire toute l'année,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637425/100_grammes_33bcaa9898.png,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737632452/formule_innovee_db64549dde.png,Dose journalière recommandée (DJR) de 6 GRAMMES ou selon l'avis de votre professionnel de la santé.,Déconseillé chez les femmes ayant des antécédents personnels ou familiaux de cancer du sein. L'usage prolongé peut irriter l'estomac. Consultez votre médecin ou votre pharmacien en cas d’usage concomitant d’anticoagulants. Consultez votre médecin ou votre pharmacien en cas de traitement contre le diabète ou de traitement cardiaque. Déconseillé aux personnes présentant de troubles hépatiques. Sous réserve de les conserver au sec et à l'abri de la lumière et de l'humidité. Tenir hors de portée des enfants. Complément alimentaire déconseillé aux enfants de moins de 12 ans. L’utilisation de ce complément alimentaire ne doit pas se substituer à une alimentation diversifiée et à un mode de vie sain. Ne pas dépasser la dose journalière recommandée. Déconseillé aux femmes enceintes et allaitantes.,"Extrait : Magnolia (Xin Yi Hua, M. officinalis) 2080 mg, Cloche dorée (Lian Qiao, F. suspensa) 600 mg, Phellodendron (Huang bai, P. amurense) 600 mg, Angélique dahurienne (Bai Zhi, A. dahurica) 600 mg, Chrysanthème (Ye Ju Hua, C. indicum) 360 mg, Herbe à chat du Japon (Jing Jie Sui, S. tenuifolia) 360 mg, Silère (Fang Feng, S. divaricata) 360 mg, Platycodon (Jie Geng, P. grandifloras) 360 mg, Schisandra (Wu Wei Zi, S. chinensis) 340 mg, Anemarrhena (Zhi Mu, A. asphodeloides) 340 mg. Excipient : maltodextrine.",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1739976091/3665346301234_Bi_yan_pian_100cp_432f41b02b.png,鼻炎片,#778A76,COMPOSITION POUR 6 GRAMMES,court,25G0038,Poudre,8
D035,SOMMEIL,"Pour un sommeil profond,</br> complet et réparateur",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737632452/100_gelules_36aa37fb40.png,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637504/sans_melantonine_bb292fc332.png,Dose journalière recommandée (DJR) de 6 GÉLULES (3 g) ou selon l'avis de votre professionnel de la santé.,À stocker à l’abri de la lumière et d’une source de chaleur. Tenir hors de portée des enfants. Complément alimentaire réservé à l'adulte de plus de 18 ans. Déconseillé aux femmes enceintes et /ou allaitantes. Consultez votre médecin ou votre pharmacien en cas d’usage concomitant de traitement contre le diabète. Déconseillé aux personnes diabétiques et aux personnes présentant des troubles hépatiques ou cardiaques. Déconseillé en cas d'allergie croisée connue en particulier à la famille des Asteraceae. Déconseillé en usage prolongée sans avis médical de votre professionnel de santé. L’utilisation de ce complément alimentaire ne doit pas se substituer à une alimentation diversifiée et à un mode de vie sain. Ne pas dépasser la dose journalière recommandée.,"Extrait : Roseau des rochers (Shi chang pu, A. calamus) 300 mg, Coptis (Huang Lian, C. teeta) 300 mg, Liane de renouée (Ye jiao teng, R. multiflora) 300 mg, Pivoine blanche (Bai shao yao, P. lactiflora) 300 mg, Passiflore (P. incarnata) 1500 mg, Poria (Fu ling, W. cocos) 300 mg. Excipient : maltodextrine. Gélules végétales en pullulan.",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1765981142/3665346363652_Formule_sommeil_50_GL_69dbae924c.png,安眠丸,#454760,COMPOSITION POUR 6 GÉLULES (3 g),long,25G0046,Gélule,9
D035CP,SOMMEIL,"Pour un sommeil profond,</br> complet et réparateur",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637425/100_grammes_33bcaa9898.png,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637504/sans_melantonine_bb292fc332.png,Dose journalière recommandée (DJR) de 6 GRAMMES ou selon l'avis de votre professionnel de la santé.,À stocker à l’abri de la lumière et d’une source de chaleur. Tenir hors de portée des enfants. Complément alimentaire réservé à l'adulte de plus de 18 ans. Déconseillé aux femmes enceintes et /ou allaitantes. Consultez votre médecin ou votre pharmacien en cas d’usage concomitant de traitement contre le diabète. Déconseillé aux personnes diabétiques et aux personnes présentant des troubles hépatiques ou cardiaques. Déconseillé en cas d'allergie croisée connue en particulier à la famille des Asteraceae. Déconseillé en usage prolongée sans avis médical de votre professionnel de santé. L’utilisation de ce complément alimentaire ne doit pas se substituer à une alimentation diversifiée et à un mode de vie sain. Ne pas dépasser la dose journalière recommandée.,"Extrait : Roseau des rochers (Shi chang pu, A. calamus) 600 mg, Coptis (Huang Lian, C. teeta) 600 mg, Liane de renouée (Ye jiao teng, R. multiflora) 600 mg, Pivoine blanche (Bai shao yao, P. lactiflora) 600 mg, Passiflore (P. incarnata) 3000 mg, Poria (Fu ling, W. cocos) 600 mg. Excipient : maltodextrine.",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1764580506/3665346363638_Formule_sommeil_8359e0a4c4.png,安眠丸,#454760,COMPOSITION POUR 6 GRAMMES,long,25G0046,Poudre,10
D015,DIGESTION,Soulager les inconforts digestifs rapidement,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737632452/100_gelules_36aa37fb40.png,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637520/effet_immediat_195c56313a.png,Dose journalière recommandée (DJR) de 6 GÉLULES (3 g) ou selon l'avis de votre professionnel de la santé.,"À stocker à l’abri de la lumière et d’une source de chaleur. Tenir hors de portée des enfants. Complément alimentaire réservé aux adultes de plus de 18 ans. Déconseillé aux femmes enceintes ou allaitantes. Déconseillé aux personnes ayant un trouble thyroïdien ou sous traitement pour la thyroïde, consultez votre médecin. Déconseillé aux personnes sous traitement antidiabétique, aux personnes présentant de troubles hépatiques ou cardiaque, consultez votre médecin ou pharmacien. L’utilisation de ce complément alimentaire ne doit pas se substituer à une alimentation diversifiée et à un mode de vie sain. Ne pas dépasser la dose journalière recommandée.","Extrait : Cognassier fruit (Mu gua, C. speciosa) 322 mg, Peau de Mandarine (Chen pi, C. reticulata) 322 mg, Fruits d’Aubépine (Shan zha, C. laevigata) 484 mg, Herbe de lysimachia (Jin qian cao, L. vulgaris) 647 mg, Phellodendron (Huang bai, P. amurense) 322 mg, Graines de Radis (Lai fu zi, R. sativus) 322 mg, Poria (Fu ling, W. cocos) 484 mg, Gingembre (Sheng jiang, Z. officinale) 97 mg. Excipient : maltodextrine. Gélules végétales en pullulan.",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1764579634/3665346370155_Calebasse_Digestion_GL_50_a32eb48359.png,保和消食丸,#85839D,COMPOSITION POUR 6 GÉLULES (3 g),long,25G0022,Gélule,11
D015CP,DIGESTION,Soulager les inconforts digestifs rapidement,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637425/100_grammes_33bcaa9898.png,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637520/effet_immediat_195c56313a.png,Dose journalière recommandée (DJR) de 6 GRAMMES ou selon l'avis de votre professionnel de la santé.,"À stocker à l’abri de la lumière et d’une source de chaleur. Tenir hors de portée des enfants. Complément alimentaire réservé aux adultes de plus de 18 ans. Déconseillé aux femmes enceintes ou allaitantes. Déconseillé aux personnes ayant un trouble thyroïdien ou sous traitement pour la thyroïde, consultez votre médecin. Déconseillé aux personnes sous traitement antidiabétique, aux personnes présentant de troubles hépatiques ou cardiaque, consultez votre médecin ou pharmacien. L’utilisation de ce complément alimentaire ne doit pas se substituer à une alimentation diversifiée et à un mode de vie sain. Ne pas dépasser la dose journalière recommandée.","Extrait : Cognassier fruit (Mu gua, C. speciosa) 644 mg, Peau de Mandarine (Chen pi, C. reticulata) 644 mg, Fruits d’Aubépine (Shan zha, C. laevigata) 968 mg, Herbe de lysimachia (Jin qian cao, L. vulgaris) 1294 mg, Phellodendron (Huang bai, P. amurense) 644 mg, Graines de Radis (Lai fu zi, R. sativus) 644 mg, Poria (Fu ling, W. cocos) 968 mg, Gingembre (Sheng jiang, Z. officinale) 194 mg. Excipient : maltodextrine.",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1739976275/3665346370032_Calebasse_Digestion_CP_100_a60e83c1ed.png,保和消食丸,#85839D,COMPOSITION POUR 6 GRAMMES,long,25G0022,Poudre,12
D033,MINCEUR,"<span style=""font-size:0.85em"">Brûle-graisse et coupe-faim</br> pour un meilleur contrôle du poids</span>",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737632452/100_gelules_36aa37fb40.png,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737632452/formule_innovee_db64549dde.png,Dose journalière recommandée (DJR) de 6 GÉLULES (3 g) ou selon l'avis de votre professionnel de la santé.,"À stocker à l'abri de la lumière et d'une source de chaleur. Tenir hors de portée des enfants. Complément alimentaire déconseillé aux enfants de moins de 12 ans. Déconseillé aux femmes en cas de grossesse ou d'allaitement, et aux femmes ayant des antécédents personnels ou familiaux de cancer du sein. Déconseillé en cas d'ulcère gastro-duodénal ou d'obstructions biliaires, d'insuffisance cardiaque ou rénale œdémateuses. Déconseillé en cas d'allergie croisée connue en particulier à la famille des Asteraceae. Consultez votre médecin en cas d'usage concomitant d'anticoagulants, et / ou de traitement antidiabétique, et / ou anti-hypertenseur. Cesser l'utilisation du produit en cas d'agitation ou de nervosité. Complément alimentaire peut contenir des traces de gluten. Extrait de germe de blé riche en spermidine. L'utilisation de ce complément alimentaire ne doit pas se substituer à une alimentation diversifiée et à un mode de vie sain. Ne pas dépasser la dose journalière recommandée.","Extrait : Mauve (Jin kui zi, M. sylvestris) 630 mg, Peau de Mandarine (Chen pi, C. reticulata) 316 mg, Pissenlit (Pu gong ying, T. officinale) 316 mg, Poria (Fu ling, P. cocos) 316 mg, Pivoine (Bai shao yao, P. lactiflora) 316 mg, Buplèvre (Chai hu, B. chinense) 316 mg, Kudzu (Ge gen, P. lobata) 316 mg, Oranger amer (Zhi qiao, C. aurantium) 158 mg, Blé (Fu xiao mai, T. aestivum) 316 mg. Excipient : maltodextrine. Gélules végétales en pullulan.",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1739977628/3665346371954_Calebasse_Minceur_GL_50_7cd5a77ab3.png,减肥丸,#C47F5E,COMPOSITION POUR 6 GÉLULES (3 g),long,25G0040,Gélule,13
D033CP,MINCEUR,"<span style=""font-size:0.85em"">Brûle-graisse et coupe-faim</br> pour un meilleur contrôle du poids</span>",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637425/100_grammes_33bcaa9898.png,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737632452/formule_innovee_db64549dde.png,Dose journalière recommandée (DJR) de 6 GRAMMES ou selon l'avis de votre professionnel de la santé.,"À stocker à l'abri de la lumière et d'une source de chaleur. Tenir hors de portée des enfants. Complément alimentaire déconseillé aux enfants de moins de 12 ans. Déconseillé aux femmes en cas de grossesse ou d'allaitement, et aux femmes ayant des antécédents personnels ou familiaux de cancer du sein. Déconseillé en cas d'ulcère gastro-duodénal ou d'obstructions biliaires, d'insuffisance cardiaque ou rénale œdémateuses. Déconseillé en cas d'allergie croisée connue en particulier à la famille des Asteraceae. Consultez votre médecin en cas d'usage concomitant d'anticoagulants, et / ou de traitement antidiabétique, et / ou anti-hypertenseur. Cesser l'utilisation du produit en cas d'agitation ou de nervosité. Complément alimentaire peut contenir des traces de gluten. Extrait de germe de blé riche en spermidine. L'utilisation de ce complément alimentaire ne doit pas se substituer à une alimentation diversifiée et à un mode de vie sain. Ne pas dépasser la dose journalière recommandée.","Extrait : Mauve (Jin kui zi, M. sylvestris) 1260 mg, Peau de Mandarine (Chen pi, C. reticulata) 632 mg, Pissenlit (Pu gong ying, T. officinale) 632 mg, Poria (Fu ling, P. cocos) 632 mg, Pivoine (Bai shao yao, P. lactiflora) 632 mg, Buplèvre (Chai hu, B. chinense) 632 mg, Kudzu (Ge gen, P. lobata) 632 mg, Oranger amer (Zhi qiao, C. aurantium) 316 mg, Blé (Fu xiao mai, T. aestivum) 632 mg. Excipient : maltodextrine.",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1739977628/3665346371831_Calebasse_Minceur_CP_100_5bc868fdb2.png,减肥丸,#C47F5E,COMPOSITION POUR 6 GRAMMES,long,25G0040,Poudre,14
D083,ANTI-FATIGUE,Revitalisez votre énergie mentale et physique,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737632452/100_gelules_36aa37fb40.png,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637542/plantes_d_exception_c2a79a7ab3.png,Dose journalière recommandée (DJR) de 6 GÉLULES (3 g) ou selon l'avis de votre professionnel de la santé.,"À stocker à l’abri de la lumière et d’une source de chaleur. Tenir hors de portée des enfants. Complément alimentaire réservé à l'adulte de plus de 18 ans. Déconseillé aux personnes sous traitement antidiabétique, consultez votre médecin ou pharmacien. Déconseillé chez les femmes ayant des antécédents personnels ou familiaux de cancer du sein. Déconseillé aux femmes enceintes et allaitantes. L’utilisation de ce complément alimentaire ne doit pas se substituer à une alimentation diversifiée et à un mode de vie sain. Ne pas dépasser la dose journalière recommandée.","Extrait : Reishi (Ling zhi, G. lucidum) 600 mg, Astragale (Huang qi, A. membranaceus) 1500 mg, Ginseng (Ren shen, P. ginseng) 900 mg. Excipient : maltodextrine. Gélules végétales en pullulan.",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1739978164/3665346370551_Calebasse_Fatigue_GL_50_d360bb88b1.png,参芪灵芝丸,#DB9331,COMPOSITION POUR 6 GÉLULES (3 g),long,25G0026,Gélule,15
D083CP,ANTI-FATIGUE,Revitalisez votre énergie mentale et physique,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637425/100_grammes_33bcaa9898.png,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737637542/plantes_d_exception_c2a79a7ab3.png,Dose journalière recommandée (DJR) de 6 GRAMMES ou selon l'avis de votre professionnel de la santé.,"À stocker à l’abri de la lumière et d’une source de chaleur. Tenir hors de portée des enfants. Complément alimentaire réservé à l'adulte de plus de 18 ans. Déconseillé aux personnes sous traitement antidiabétique, consultez votre médecin ou pharmacien. Déconseillé chez les femmes ayant des antécédents personnels ou familiaux de cancer du sein. Déconseillé aux femmes enceintes et allaitantes. L’utilisation de ce complément alimentaire ne doit pas se substituer à une alimentation diversifiée et à un mode de vie sain. Ne pas dépasser la dose journalière recommandée.","Extrait : Reishi (Ling zhi, G. lucidum) 1200 mg, Astragale (Huang qi, A. membranaceus) 3000 mg, Ginseng (Ren shen, P. ginseng) 1800 mg. Excipient : maltodextrine.",https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1739978164/3665346370438_Calebasse_Fatigue_CP_100_80e6faa94d.png,参芪灵芝丸,#DB9331,COMPOSITION POUR 6 GRAMMES,long,25G0026,Poudre,16
